"","licensee","total"
"401","Cermaq",0.6
"402","Cermaq",1
"403","Cermaq",0.2
"404","Cermaq",4
"406","Cermaq",2.3
"407","Cermaq",3.5
"408","Cermaq",4.3
"409","Cermaq",6.7
"414","Grieg",0
"415","Grieg",0.1
"416","Grieg",0.2
"417","Grieg",0.3
"419","Cermaq",0.3
"420","Cermaq",0
"421","Cermaq",0.2
"422","Grieg",0.2
"423","Marine Harvest",6.6
"424","Marine Harvest",2.8
"425","Marine Harvest",0.6
"426","Marine Harvest",1.3
"427","Marine Harvest",0
"428","Cermaq",1.5
"429","Cermaq",0.3
"430","Cermaq",0
"432","Grieg",0.3
"433","Grieg",1.3
"434","Marine Harvest",0.9
"435","Marine Harvest",3.4
"436","Marine Harvest",0.2
"437","Marine Harvest",4.1
"438","Marine Harvest",0.6
"439","Marine Harvest",5.4
"440","Marine Harvest",0
"441","Marine Harvest",2.2
"442","Marine Harvest",8.4
"443","Marine Harvest",3.4
"444","Marine Harvest",1
"445","Marine Harvest",3.4
"446","Marine Harvest",1.9
"447","Marine Harvest",1.3
"448","Marine Harvest",2.7
"449","Marine Harvest",6.4
"451","Marine Harvest",7
"452","Marine Harvest",2.6
"453","Cermaq",0.2
"454","Cermaq",1.3
"455","Cermaq",0.1
"457","Cermaq",3.2
"459","Cermaq",2.3
"461","Cermaq",1.1
"462","Cermaq",1.9
"464","Grieg",21.8
"466","Grieg",0.8
"469","Grieg",0.3
"471","Cermaq",0.3
"472","Cermaq",0.2
"473","Cermaq",0.4
"474","Grieg",0.2
"475","Marine Harvest",9
"477","Marine Harvest",4.9
"478","Marine Harvest",1
"479","Marine Harvest",1.2
"480","Marine Harvest",0.6
"481","Cermaq",2
"482","Cermaq",0.7
"483","Cermaq",0
"484","Cermaq",0.2
"485","Grieg",0.7
"486","Grieg",0.3
"487","Marine Harvest",0.8
"488","Marine Harvest",2.9
"490","Marine Harvest",5.6
"492","Marine Harvest",9.1
"494","Marine Harvest",2.3
"495","Marine Harvest",6.7
"497","Marine Harvest",0.4
"498","Marine Harvest",13.2
"499","Marine Harvest",15.3
"500","Marine Harvest",1.2
"501","Marine Harvest",2.6
"502","Marine Harvest",11.4
"503","Marine Harvest",11.9
"505","Marine Harvest",5.7
"506","Cermaq",0.3
"507","Cermaq",0.9
"508","Cermaq",0.1
"510","Cermaq",1.9
"515","Cermaq",1
"516","Grieg",0.1
"520","Grieg",24
"523","Grieg",0.1
"525","Grieg",0.4
"526","Grieg",0.2
"528","Cermaq",1
"529","Cermaq",0.6
"531","Grieg",1.9
"532","Marine Harvest",16.3
"533","Marine Harvest",9.4
"534","Marine Harvest",12.6
"535","Marine Harvest",1.7
"536","Marine Harvest",1.7
"537","Marine Harvest",2.2
"538","Cermaq",2
"539","Cermaq",0.8
"540","Cermaq",0.2
"541","Cermaq",0.5
"542","Grieg",0.8
"543","Grieg",0.5
"544","Marine Harvest",0.9
"547","Marine Harvest",4.2
"549","Marine Harvest",3.8
"551","Marine Harvest",2.3
"552","Marine Harvest",9.4
"553","Marine Harvest",0.4
"554","Marine Harvest",14.1
"555","Marine Harvest",31.2
"556","Marine Harvest",1.4
"557","Marine Harvest",2.5
"559","Marine Harvest",18.7
"560","Marine Harvest",28.2
"561","Marine Harvest",16.8
"562","Cermaq",0.2
"563","Cermaq",0.7
"564","Cermaq",0
"565","Cermaq",0.1
"566","Cermaq",1.2
"569","Cermaq",0.1
"570","Cermaq",0.3
"571","Grieg",0.1
"573","Grieg",18.3
"574","Grieg",0
"575","Grieg",0
"576","Grieg",23.3
"577","Marine Harvest",0.2
"578","Marine Harvest",0
"580","Grieg",2.1
"581","Grieg",0.9
"583","Cermaq",4.7
"584","Cermaq",0.8
"585","Cermaq",6.5
"586","Grieg",8.2
"588","Marine Harvest",16.6
"589","Marine Harvest",61.3
"590","Marine Harvest",15.2
"591","Marine Harvest",6.8
"592","Marine Harvest",6.2
"593","Marine Harvest",13.6
"594","Cermaq",1.6
"595","Cermaq",1
"596","Cermaq",0.3
"597","Cermaq",2.1
"598","Grieg",1.4
"599","Grieg",1.8
"600","Marine Harvest",3
"601","Marine Harvest",6
"602","Marine Harvest",13.4
"603","Marine Harvest",11.4
"605","Marine Harvest",7.7
"606","Marine Harvest",5.3
"607","Marine Harvest",0.9
"609","Marine Harvest",6.3
"610","Marine Harvest",16.8
"611","Marine Harvest",3.8
"612","Marine Harvest",2.4
"613","Marine Harvest",6.6
"615","Marine Harvest",15.1
"616","Marine Harvest",3.8
"617","Cermaq",0.5
"619","Cermaq",0.3
"621","Cermaq",0.1
"622","Cermaq",1.6
"623","Cermaq",0.6
"624","Cermaq",0.1
"625","Cermaq",0.5
"626","Grieg",0.1
"628","Grieg",22.9
"629","Grieg",0
"630","Grieg",0
"631","Grieg",25.7
"632","Marine Harvest",1.1
"633","Marine Harvest",0.2
"635","Grieg",1.1
"636","Grieg",0.9
"638","Cermaq",1.9
"639","Cermaq",23.3
"641","Marine Harvest",8.2
"642","Marine Harvest",2.5
"643","Marine Harvest",3.9
"644","Marine Harvest",2.4
"646","Marine Harvest",2.8
"647","Marine Harvest",39.1
"648","Cermaq",4
"649","Cermaq",1.1
"650","Cermaq",0.6
"651","Cermaq",3.4
"652","Grieg",2.8
"653","Grieg",6.4
"654","Marine Harvest",4.4
"656","Marine Harvest",15.4
"657","Marine Harvest",9.8
"658","Marine Harvest",7.4
"659","Marine Harvest",5.5
"660","Marine Harvest",0.3
"661","Marine Harvest",2.8
"664","Marine Harvest",4
"665","Marine Harvest",2.8
"666","Marine Harvest",10.4
"668","Marine Harvest",30.3
"669","Marine Harvest",5.4
